idx,date,n_fixtures,n_bets,bankroll_open,bankroll_close,stake_frac,pnl_frac,exposure,k_risk,capped,model,policy,opening_drawdown,drawdown_trust_multiplier
1,2024-08-03,9,29,1000.0,1008.7562877864565,0.15551485549980562,0.008756287786456433,0.15551485549980562,0.2622946146503351,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
2,2024-08-10,9,21,1008.7562877864565,970.7482706602059,0.11827992935900994,-0.0376780968668385,0.11827992935900994,0.2527186200470216,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
3,2024-08-17,8,21,970.7482706602059,1019.1121367888683,0.11116481093174714,0.04982122306102083,0.11116481093174714,0.26787017577709615,false,m12_joint_hybrid_synergy,P1_status_quo,-0.03767809686683854,1.0
4,2024-08-24,8,22,1019.1121367888683,1157.5664685645734,0.10769149217602066,0.13585779893855693,0.10769149217602066,0.2677011100284652,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
5,2024-08-31,9,19,1157.5664685645734,1174.4941893156554,0.0895270951158684,0.01462354103265697,0.0895270951158684,0.2661354522316203,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
6,2024-09-14,8,23,1174.4941893156554,1188.2214067017424,0.11727187657010475,0.011687769518966454,0.11727187657010475,0.2541000311830697,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
7,2024-09-21,9,20,1188.2214067017424,1175.1377322214664,0.08516575661979664,-0.01101114186841105,0.08516575661979664,0.2751575461918246,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
8,2024-09-28,9,23,1175.1377322214664,1187.7892377765668,0.07041582881785208,0.010765976794213053,0.07041582881785206,0.2665158830789784,false,m12_joint_hybrid_synergy,P1_status_quo,-0.011011141868411123,1.0
9,2024-10-05,9,20,1187.7892377765668,1207.5281534274257,0.07838836975932419,0.016618197086722318,0.07838836975932419,0.27326578215468256,false,m12_joint_hybrid_synergy,P1_status_quo,-0.0003637107720312338,1.0
10,2024-10-19,9,26,1207.5281534274257,1204.656566673214,0.10518210483490677,-0.002378070230545609,0.10518210483490677,0.2698933332904064,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
11,2024-10-26,5,10,1204.656566673214,1232.6744899459156,0.055896494443483914,0.023258017303700078,0.055896494443483914,0.27557125072773614,false,m12_joint_hybrid_synergy,P1_status_quo,-0.0023780702305457035,1.0
12,2024-11-02,9,17,1232.6744899459156,1184.789130085441,0.1085639921599782,-0.038846719268584615,0.1085639921599782,0.2636576839372803,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
13,2024-11-09,9,21,1184.789130085441,1319.3339398118574,0.09211020202213704,0.11356013176514684,0.09211020202213706,0.26374106112769957,false,m12_joint_hybrid_synergy,P1_status_quo,-0.03884671926858452,1.0
14,2024-11-16,9,24,1319.3339398118574,1400.1427585275253,0.08498354844890732,0.06124970811195204,0.08498354844890729,0.2603859357832298,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
15,2024-11-23,1,3,1400.1427585275253,1383.9994303793212,0.03312856821233806,-0.011529772981993144,0.03312856821233806,0.27809275683944795,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
16,2024-11-30,1,4,1383.9994303793212,1378.2961293892563,0.004120883914310424,-0.004120883914310424,0.004120883914310424,0.27382185317325725,false,m12_joint_hybrid_synergy,P1_status_quo,-0.011529772981993203,1.0
17,2024-12-03,3,6,1378.2961293892563,1402.4957453750062,0.03183066048568318,0.01755763182508034,0.03183066048568317,0.27027367102463523,false,m12_joint_hybrid_synergy,P1_status_quo,-0.01560314404028651,1.0
18,2024-12-07,8,18,1402.4957453750062,1457.2731783789607,0.05445539790846793,0.03905711171288293,0.054455397908467935,0.264936029905608,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
19,2024-12-14,9,21,1457.2731783789607,1606.6840104031571,0.0901567936651695,0.10252767582698376,0.09015679366516947,0.27100703130771314,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
20,2024-12-17,3,7,1606.6840104031571,1599.1270668267025,0.03618164469014152,-0.004703441079592334,0.03618164469014152,0.28058809387896777,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
21,2024-12-21,9,23,1599.1270668267025,1604.7686203746107,0.08075009160578292,0.003527895728200811,0.08075009160578292,0.2674889727857576,false,m12_joint_hybrid_synergy,P1_status_quo,-0.00470344107959253,1.0
22,2024-12-28,8,30,1604.7686203746107,1727.7070253686109,0.12313660230923189,0.07660818103814972,0.1231366023092319,0.26964057453508145,false,m12_joint_hybrid_synergy,P1_status_quo,-0.0011921386010842472,1.0
23,2025-01-04,8,16,1727.7070253686109,1699.1842508279597,0.05997374298298931,-0.016509034299125872,0.05997374298298931,0.26589399278833303,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
24,2025-01-08,1,6,1699.1842508279597,1729.7968070073512,0.020908615994014147,0.018016031024578275,0.020908615994014147,0.2729220600482164,false,m12_joint_hybrid_synergy,P1_status_quo,-0.01650903429912587,1.0
25,2025-01-11,5,16,1729.7968070073512,1658.3564635812966,0.0586513838331655,-0.041299846974310495,0.05865138383316551,0.2718958281886838,false,m12_joint_hybrid_synergy,P1_status_quo,0.0,1.0
26,2025-01-14,1,2,1658.3564635812966,1629.905523671263,0.017156106382938123,-0.017156106382938123,0.017156106382938123,0.25865480660329093,false,m12_joint_hybrid_synergy,P1_status_quo,-0.04129984697431055,1.0
